frame,time_s,face_detected,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
120,4.01,1,0.0,0.042,0.0358,0.0159,0.1186,0.0496,0.0,0.0,0.0,0.0597,0.0259,0.1089,0.1029,0.0072,0.3042,0.2727,0.0155,0.0793,0.0787,0.2781,0.1567,0.0119,0.0161,0.0,0.0001,0.0003,0.0,0.0002,0.0073,0.0035,0.0,0.0,0.0041,0.0013,0.0,0.0,0.0252,0.0139,0.2151,0.0048,0.0005,0.0002,0.0306,0.0543,0.4129,0.3845,0.0024,0.007,0.0037,0.0053,0.0,0.0
125,4.18,1,0.0,0.0258,0.0217,0.0149,0.1833,0.0732,0.0,0.0,0.0,0.0421,0.0228,0.1106,0.1072,0.0088,0.2944,0.2738,0.0127,0.0761,0.0719,0.2089,0.1006,0.0169,0.019,0.0001,0.0001,0.0004,0.0,0.0002,0.005,0.0063,0.0001,0.0001,0.0038,0.0005,0.0001,0.0001,0.0287,0.0265,0.11,0.0102,0.0007,0.0002,0.0279,0.0711,0.3228,0.387,0.0042,0.0114,0.0056,0.0109,0.0,0.0
130,4.35,1,0.0,0.0319,0.0257,0.0153,0.1637,0.0672,0.0,0.0,0.0,0.0436,0.0211,0.1221,0.116,0.0084,0.3033,0.2821,0.0127,0.0699,0.068,0.2033,0.1047,0.0156,0.0215,0.0001,0.0001,0.0003,0.0,0.0002,0.0057,0.0047,0.0,0.0001,0.004,0.0007,0.0001,0.0,0.0268,0.0198,0.1648,0.008,0.0005,0.0002,0.0233,0.0506,0.3463,0.3715,0.0035,0.0106,0.0035,0.0056,0.0,0.0
135,4.52,1,0.0,0.0723,0.0483,0.006,0.0911,0.0511,0.0,0.0,0.0,0.0495,0.0249,0.1638,0.1623,0.0101,0.2378,0.2217,0.0215,0.0536,0.0469,0.2292,0.1027,0.0149,0.018,0.0,0.0001,0.0003,0.0,0.0002,0.0042,0.0035,0.0001,0.0002,0.0023,0.0004,0.0,0.0,0.0305,0.0214,0.1118,0.0115,0.0007,0.0002,0.0469,0.0606,0.3604,0.3848,0.0071,0.0252,0.003,0.0047,0.0,0.0
140,4.68,1,0.0,0.0602,0.041,0.0089,0.099,0.0551,0.0,0.0,0.0,0.0321,0.0187,0.1585,0.1583,0.0098,0.2422,0.2254,0.0195,0.0547,0.0481,0.2102,0.0924,0.0217,0.024,0.0001,0.0001,0.0003,0.0,0.0002,0.0057,0.0038,0.0001,0.0001,0.0036,0.0005,0.0001,0.0,0.0254,0.0183,0.1504,0.013,0.0006,0.0002,0.0253,0.0566,0.3452,0.3867,0.0037,0.0203,0.0041,0.0058,0.0,0.0
145,4.85,1,0.0,0.056,0.0367,0.0114,0.0994,0.0603,0.0,0.0,0.0,0.0385,0.0198,0.114,0.1168,0.0088,0.2642,0.2419,0.0179,0.0766,0.0679,0.2419,0.1005,0.0183,0.0213,0.0001,0.0001,0.0003,0.0,0.0001,0.0048,0.0041,0.0001,0.0001,0.0035,0.0004,0.0001,0.0,0.0233,0.0199,0.145,0.0121,0.0006,0.0001,0.0273,0.0628,0.3295,0.396,0.0044,0.0249,0.0042,0.0066,0.0,0.0
150,5.02,1,0.0,0.0462,0.0295,0.0144,0.1264,0.0685,0.0,0.0,0.0,0.0366,0.0195,0.103,0.1053,0.0069,0.3162,0.2882,0.0134,0.0816,0.0757,0.2308,0.108,0.0174,0.022,0.0,0.0001,0.0003,0.0,0.0002,0.0033,0.0035,0.0001,0.0001,0.0031,0.0004,0.0,0.0,0.0221,0.017,0.1627,0.0144,0.0006,0.0002,0.0383,0.0661,0.4097,0.4476,0.0052,0.016,0.0037,0.006,0.0,0.0
155,5.19,1,0.0,0.0383,0.0319,0.0157,0.143,0.0591,0.0,0.0,0.0,0.0361,0.0174,0.1065,0.1017,0.0078,0.2777,0.2544,0.0173,0.0798,0.079,0.2122,0.1051,0.0188,0.0249,0.0,0.0001,0.0004,0.0,0.0002,0.0039,0.0035,0.0001,0.0001,0.0039,0.0006,0.0001,0.0,0.0202,0.0172,0.1751,0.0108,0.0005,0.0002,0.0244,0.0531,0.4178,0.479,0.0027,0.0123,0.0036,0.0054,0.0,0.0
160,5.35,1,0.0,0.0124,0.011,0.0306,0.2279,0.1051,0.0,0.0,0.0,0.6765,0.4169,0.7935,0.8015,0.0737,0.0577,0.0726,0.0812,0.0027,0.0027,0.4378,0.395,0.0006,0.0007,0.0001,0.0001,0.0005,0.0,0.0003,0.004,0.0044,0.0002,0.0002,0.0032,0.0006,0.0001,0.0001,0.0227,0.0212,0.1315,0.0078,0.0009,0.0004,0.0247,0.0406,0.4383,0.4779,0.0051,0.0236,0.0064,0.0088,0.0,0.0
165,5.52,1,0.0,0.0027,0.0037,0.0661,0.4552,0.1905,0.0,0.0,0.0,0.7945,0.6476,0.9023,0.8965,0.0597,0.1085,0.0927,0.0472,0.0014,0.0011,0.4297,0.4051,0.0005,0.0002,0.0001,0.0001,0.0005,0.0001,0.0003,0.0055,0.0044,0.0001,0.0001,0.0053,0.0008,0.0001,0.0001,0.0183,0.0164,0.2113,0.0089,0.0009,0.0004,0.0227,0.0377,0.5316,0.5589,0.0034,0.0158,0.0105,0.0131,0.0,0.0
