frame,time_s,face_detected,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
100,3.33,1,0.0,0.0771,0.0386,0.0416,0.0124,0.0243,0.0001,0.0,0.0,0.0627,0.0155,0.0673,0.0435,0.0159,0.1944,0.1989,0.014,0.1442,0.1581,0.2526,0.2709,0.0091,0.0247,0.0004,0.0004,0.01,0.0001,0.0008,0.0734,0.0667,0.0,0.0,0.011,0.0011,0.0089,0.0104,0.1743,0.1139,0.0049,0.0013,0.0048,0.0119,0.0055,0.0612,0.1826,0.1361,0.0011,0.0006,0.1693,0.2268,0.0,0.0
105,3.5,1,0.0,0.09,0.0506,0.0374,0.0117,0.0185,0.0001,0.0,0.0,0.0682,0.0157,0.0726,0.0477,0.0145,0.2066,0.2059,0.0135,0.1284,0.1444,0.2225,0.2412,0.0079,0.025,0.0004,0.0005,0.0068,0.0001,0.0006,0.0731,0.0612,0.0,0.0,0.0091,0.0015,0.0067,0.0075,0.1951,0.1274,0.004,0.001,0.0044,0.0079,0.0073,0.0682,0.1526,0.1075,0.0016,0.0008,0.1883,0.2385,0.0,0.0
110,3.67,1,0.0,0.0736,0.0344,0.0978,0.0146,0.0168,0.0001,0.0,0.0,0.0778,0.049,0.1902,0.1694,0.0157,0.2292,0.2309,0.0117,0.045,0.0497,0.2358,0.2879,0.0081,0.0113,0.0003,0.0015,0.0155,0.0,0.0012,0.0268,0.0206,0.0001,0.0001,0.0039,0.0031,0.0038,0.004,0.1766,0.1692,0.0014,0.0002,0.0124,0.0207,0.0102,0.05,0.4105,0.3483,0.0039,0.0037,0.073,0.1049,0.0,0.0
115,3.83,1,0.0,0.038,0.0214,0.0988,0.0285,0.0319,0.0,0.0,0.0,0.1646,0.0425,0.2736,0.2442,0.0173,0.2136,0.2093,0.0164,0.0302,0.0347,0.2107,0.2427,0.0048,0.0122,0.0,0.0002,0.0012,0.0,0.0004,0.0839,0.0057,0.0,0.0,0.0006,0.0175,0.0,0.0001,0.2944,0.0371,0.0071,0.0002,0.0036,0.0049,0.0297,0.0082,0.0083,0.0026,0.0018,0.0003,0.0014,0.0006,0.0,0.0
120,4.0,1,0.0,0.0434,0.021,0.0868,0.0321,0.0494,0.0,0.0,0.0,0.09,0.0204,0.266,0.2496,0.0079,0.3326,0.3274,0.0075,0.0236,0.0336,0.1249,0.2628,0.007,0.029,0.0001,0.0008,0.0068,0.0001,0.0012,0.0261,0.0649,0.0,0.0,0.0097,0.0054,0.0008,0.0005,0.0398,0.0495,0.1028,0.0016,0.0052,0.0169,0.0027,0.0108,0.0006,0.0006,0.0001,0.0,0.0012,0.0011,0.0,0.0
125,4.17,1,0.0,0.0254,0.0221,0.1918,0.0187,0.0254,0.0,0.0,0.0,0.0988,0.0201,0.2028,0.1627,0.0064,0.3989,0.3927,0.005,0.0424,0.0528,0.187,0.2188,0.0084,0.0282,0.0003,0.0008,0.0148,0.0002,0.0006,0.1012,0.0216,0.0,0.0,0.0593,0.0057,0.0106,0.016,0.0589,0.016,0.0631,0.0009,0.0022,0.0208,0.001,0.0352,0.0033,0.0021,0.0002,0.0001,0.108,0.1081,0.0,0.0
130,4.33,1,0.0,0.0484,0.0272,0.0795,0.0279,0.0335,0.0,0.0,0.0,0.0714,0.0115,0.0899,0.0679,0.0082,0.3053,0.3209,0.0083,0.1001,0.1165,0.2442,0.2659,0.0105,0.0377,0.0001,0.0028,0.1054,0.0005,0.011,0.0449,0.0047,0.0,0.0,0.0983,0.0157,0.0014,0.002,0.0098,0.0019,0.5155,0.0007,0.0128,0.1789,0.0008,0.012,0.0,0.0,0.0,0.0,0.0011,0.0007,0.0,0.0
135,4.5,1,0.0,0.076,0.0376,0.0607,0.0152,0.0319,0.0,0.0,0.0,0.1004,0.0206,0.0813,0.0672,0.0084,0.3055,0.3112,0.008,0.1023,0.1171,0.2804,0.2955,0.0065,0.0186,0.0,0.0007,0.0069,0.0001,0.0028,0.0338,0.0079,0.0,0.0,0.0033,0.009,0.0001,0.0001,0.069,0.0246,0.0562,0.0006,0.0082,0.0171,0.0058,0.0051,0.0005,0.0004,0.0002,0.0002,0.0001,0.0001,0.0,0.0
140,4.67,1,0.0,0.0437,0.0268,0.0863,0.0242,0.0379,0.0,0.0,0.0,0.5442,0.2643,0.4679,0.4832,0.0103,0.3126,0.3073,0.0098,0.0104,0.0171,0.2937,0.6024,0.0008,0.0011,0.0,0.0017,0.0066,0.0,0.0028,0.1339,0.013,0.0,0.0,0.0015,0.0488,0.0001,0.0001,0.1705,0.0781,0.022,0.0001,0.0101,0.0285,0.0074,0.003,0.0018,0.0014,0.0002,0.0008,0.0001,0.0,0.0,0.0
145,4.83,1,0.0,0.0372,0.0151,0.1171,0.027,0.0475,0.0001,0.0,0.0,0.2723,0.1467,0.2989,0.2753,0.0078,0.3598,0.3223,0.0085,0.0273,0.0288,0.306,0.4502,0.0022,0.0028,0.0003,0.0018,0.0252,0.0,0.0026,0.0113,0.0105,0.0001,0.0001,0.0049,0.0126,0.0057,0.0048,0.1753,0.2996,0.0013,0.0,0.0092,0.0158,0.0026,0.0254,0.1661,0.1839,0.0078,0.011,0.0088,0.0164,0.0,0.0
