frame,time_s,face_detected,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
100,3.34,1,0.0,0.0004,0.0007,0.4116,0.5159,0.2555,0.0003,0.0,0.0,0.0857,0.067,0.1983,0.1781,0.0283,0.1651,0.1597,0.0155,0.042,0.04,0.3612,0.1918,0.0101,0.0094,0.0006,0.0003,0.1512,0.0016,0.0066,0.0042,0.0077,0.0001,0.0001,0.0318,0.0009,0.0353,0.0323,0.0123,0.0268,0.0307,0.0009,0.0038,0.0103,0.0008,0.0196,0.473,0.6013,0.0037,0.0099,0.075,0.0864,0.0,0.0
105,3.5,1,0.0,0.0004,0.0007,0.3573,0.527,0.2732,0.0001,0.0,0.0,0.0948,0.1031,0.2866,0.2596,0.0076,0.3488,0.3866,0.0056,0.0312,0.0214,0.4087,0.2014,0.0091,0.0046,0.0005,0.0008,0.1354,0.0007,0.0122,0.0494,0.054,0.0,0.0,0.022,0.0013,0.0122,0.0116,0.0594,0.0889,0.0084,0.0021,0.0042,0.0169,0.0005,0.0144,0.0097,0.0177,0.0003,0.0014,0.0049,0.0061,0.0,0.0
110,3.67,1,0.0,0.0001,0.0009,0.3109,0.7835,0.1981,0.0001,0.0,0.0,0.0764,0.0985,0.3804,0.3212,0.0158,0.1923,0.191,0.0197,0.0242,0.0154,0.2849,0.1695,0.0119,0.0052,0.0004,0.0004,0.0204,0.0002,0.0031,0.0146,0.0929,0.0,0.0,0.0089,0.0006,0.0041,0.0021,0.0243,0.1377,0.0051,0.0059,0.0022,0.0087,0.0022,0.0354,0.0381,0.1094,0.0006,0.0021,0.0229,0.0471,0.0,0.0
115,3.84,1,0.0,0.0002,0.0004,0.4423,0.7595,0.3441,0.0,0.0,0.0,0.0581,0.0736,0.3714,0.3155,0.0343,0.1169,0.12,0.0316,0.0277,0.0157,0.3123,0.1316,0.0155,0.0072,0.0,0.0003,0.0059,0.0001,0.0034,0.0162,0.1108,0.0001,0.0001,0.0002,0.0004,0.0001,0.0,0.1092,0.3162,0.0011,0.0138,0.0136,0.0147,0.0946,0.0145,0.0098,0.024,0.0011,0.0036,0.0003,0.0005,0.0,0.0
120,4.0,1,0.0,0.0001,0.0002,0.5644,0.7242,0.3568,0.0,0.0,0.0,0.0752,0.0731,0.257,0.2197,0.0322,0.1301,0.1395,0.0209,0.0416,0.0272,0.4086,0.1726,0.0121,0.0064,0.0002,0.0003,0.0385,0.0004,0.007,0.0065,0.0172,0.0,0.0,0.0065,0.0003,0.0034,0.0029,0.0203,0.0505,0.0098,0.0101,0.0021,0.0085,0.0009,0.009,0.0042,0.0095,0.0005,0.0028,0.0022,0.0031,0.0,0.0
125,4.17,1,0.0,0.0004,0.0008,0.4801,0.4369,0.4402,0.0,0.0,0.0,0.524,0.6515,0.6495,0.6062,0.0449,0.2348,0.1987,0.0185,0.013,0.0062,0.7301,0.3359,0.0008,0.0003,0.0003,0.0002,0.0091,0.0023,0.0004,0.0016,0.0082,0.0007,0.0005,0.0046,0.0016,0.0077,0.0065,0.0221,0.0365,0.0174,0.0005,0.0051,0.0021,0.0022,0.0231,0.0054,0.0075,0.0046,0.0107,0.0008,0.0008,0.0,0.0
130,4.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,4.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,4.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,4.84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,5.17,1,0.0,0.0,0.0,0.9179,0.9082,0.8466,0.0001,0.0,0.0,0.1044,0.1906,0.3416,0.373,0.0012,0.814,0.8205,0.0013,0.032,0.016,0.3084,0.1364,0.0123,0.0047,0.0008,0.0,0.0028,0.0044,0.0001,0.0056,0.0081,0.0007,0.0006,0.0021,0.0004,0.0075,0.0129,0.1373,0.0647,0.0142,0.0037,0.0048,0.0031,0.0026,0.0146,0.0068,0.0061,0.0055,0.0184,0.0005,0.0004,0.0,0.0
160,5.34,1,0.0,0.0,0.0002,0.6228,0.8239,0.6121,0.0,0.0,0.0,0.0991,0.2502,0.5252,0.4869,0.0023,0.686,0.6943,0.0022,0.0183,0.0056,0.3355,0.0846,0.0107,0.0026,0.0002,0.0004,0.015,0.0018,0.0013,0.0037,0.0323,0.0,0.0,0.003,0.0003,0.0024,0.0022,0.0556,0.0555,0.0243,0.0183,0.0103,0.0176,0.0032,0.0091,0.001,0.0014,0.0004,0.0006,0.0002,0.0002,0.0,0.0
165,5.5,1,0.0,0.0001,0.0003,0.5706,0.6954,0.5559,0.0002,0.0,0.0,0.0906,0.0836,0.5744,0.5183,0.0032,0.6622,0.6544,0.0019,0.0114,0.0055,0.1944,0.0949,0.0127,0.0103,0.0008,0.0002,0.0182,0.0012,0.0008,0.0169,0.0026,0.0006,0.0006,0.0111,0.0043,0.0158,0.0252,0.075,0.0375,0.014,0.0002,0.0091,0.0058,0.0054,0.0442,0.5838,0.4897,0.0147,0.0478,0.2335,0.1753,0.0,0.0
170,5.67,1,0.0,0.0004,0.0004,0.5601,0.5492,0.4543,0.0,0.0,0.0,0.2128,0.1868,0.7203,0.6867,0.0065,0.4647,0.4524,0.0067,0.0064,0.0025,0.2139,0.0491,0.0054,0.005,0.0,0.0003,0.0012,0.0001,0.0006,0.0195,0.0008,0.003,0.0076,0.0009,0.0181,0.0,0.0,0.034,0.0127,0.0375,0.0003,0.0046,0.0004,0.863,0.6208,0.0164,0.0155,0.0021,0.0751,0.0984,0.0324,0.0,0.0
175,5.84,1,0.0003,0.147,0.0816,0.3928,0.1678,0.4674,0.0004,0.0001,0.0001,0.0254,0.0195,0.943,0.9544,0.9999,0.0,0.0,0.9998,0.0012,0.0013,0.0116,0.0192,0.0406,0.2553,0.0003,0.0001,0.0011,0.0072,0.0003,0.5409,0.1812,0.0093,0.009,0.3767,0.0015,0.0257,0.005,0.7355,0.5645,0.4274,0.3072,0.0824,0.0103,0.266,0.2353,0.0866,0.1037,0.0217,0.1234,0.2754,0.2573,0.0,0.0
180,6.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,6.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,6.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
